date,is_active,tasks_completed,spend
2026-08-01,0,0,0
2026-08-02,0,0,0
2026-08-03,0,0,0
2026-08-04,0,0,0
2026-08-05,0,0,0
2026-08-06,0,0,0
2026-08-07,0,0,0
2026-08-08,0,0,0
2026-08-09,0,0,0
2026-08-10,0,0,0
2026-08-11,0,0,0
2026-08-12,0,0,0
2026-08-13,0,0,0
2026-08-14,0,0,0
2026-08-15,0,0,0
2026-08-16,0,0,0
2026-08-17,0,0,0
2026-08-18,0,0,0
2026-08-19,0,0,0
2026-08-20,0,0,0
2026-08-21,0,0,0
2026-08-22,0,0,0
2026-08-23,0,0,0
2026-08-24,0,0,0
2026-08-25,0,0,0
2026-08-26,0,0,0
2026-08-27,0,0,0
2026-08-28,1,7,4.94
2026-08-29,1,8,35.29
2026-08-30,0,0,0
